id;payment_forecast;our_number;due_date;transaction_status;observation;creation_date;deletion_date
1;19016;Toalhas Pedro;2023-11-30;Expired;Marginal roxo;2023-11-30;2023-11-30
2;5905;quasi Salsicha;2023-11-30;Rejected;índigo Metal;2023-11-30;2023-11-30
3;18607;Piauí;2023-11-29;Expired;Frango ratione;2023-11-30;2023-11-30
4;17435;Gostoso bordô;2023-11-29;Open;verde jade;2023-11-30;2023-11-29
5;172;perspiciatis Marketing;2023-11-30;Open;Sapatos;2023-11-30;2023-11-30
6;1260;Avançar Franco;2023-11-30;Approved;Feminino Global;2023-11-30;2023-11-30
7;25395;Nauru;2023-11-30;Rejected;limão;2023-11-29;2023-11-30
8;19045;lilás Associado Dinâmico;2023-11-30;Approved;Moreira Gerente;2023-11-30;2023-11-30
9;30228;Contas Congelado Minas;2023-11-30;Received;Calças Otimização Central;2023-11-30;2023-11-30
10;24577;grená preto Rústico;2023-11-30;Received;Cliente Corporativo;2023-11-30;2023-11-29
