id;document_type;document_number;state_registration;origin;type;erp_code;crop;revenue_model;month;operational_year;percentage;value;creation_date;update_date;status;vendor;po_number
1;Líder Filmes;Masculino Jóias Piauí;ferrugem São;POD;TaxaDeBaixaDeVolumeDeIsencao;Atum cumque;Feminino;Refinado Incrível Concreto;14326;24576;Produtor Executivo Amazonas;21590;Concreto;Casa;Paraná Alameda;limão Bacon salmão;marrom
2;Avenida;Prestação Ergonômico;Administrador Masculino;RecebimentoDeGraos;TaxaDeBaixaDeVolumeDeIsencao;Isis Fresco;Pará;Marca Sapatos Sapatos;17302;7695;Fresco;2692;madeira;Metal;Chapéu;Borracha;Sem Toquelau Costa
3;Genérico escarlate Islândia;ferrugem Sergipe Atentende;Bélgica limão suscipit;Vendas;SeasonBonus;Agente Dinâmico;Brunei Paraná;Inteligente Fresco marca;11338;3246;Identidade grená Bicicleta;19612;Masculino Fiji Arquiteto;Borracha Concreto Global;Executivo;Travessa Salsicha;accusantium
4;Mesa Técnico;dourado Impressionante Mouse;cinza;RecebimentoDeGraos;PrecoDaTecnologiaNaMoega;Masculino;Cliente Avenida Bartolomeu;Congelado;29002;885;Regional;16723;Cadeira;Distrito Inteligente Gerente;Madeira Feminino Licenciado;Jóias;Aço
5;Feito;Congelado;International Salgadinhos;POD;SeasonBonus;Senegal magenta Turismo;Masculino Feminino;Metal Música;3797;30057;Turcomenistão;18026;commodi Alameda;Etiópia Granito;Yuri Prestação Pizza;açafrão Peixe;Incrível Masculino Infraestrutura
6;quos Policial;caramelo;Lindo quo Alessandra;POD;Vendas;Pequeno Bacon Cadeira;Carro;República;3285;7671;Resposta e;27782;Jamaica Congelado Regional;Acre;laboriosam;Maurícia Congelado incidunt;Masculino
7;Líder fúchsia Congelado;Salgadinhos Infraestrutura;Rodovia Elísio;POD;SeasonBonus;Lustroso;Rodovia;Assistente;17674;19298;Consultor;5672;ea;Distrito Janeiro;lilás Genérico;Dados;Intranet minus Gerente
8;Albuquerque animi Fresco;Masculino;Mobilidade Interno;RecebimentoDeGraos;PrecoDaTecnologiaNaMoega;Alameda Central;Feminino verde;Travessa;3348;20529;Automotivo Turismo Esportes;28137;Beleza Planejador;architecto coral;Acre dourado;Principal Livros Matheus;ametista Feminino
9;púrpura Masculino;Implementation Davi Genérico;Agente Analista Otimização;POD;SeasonBonus;açafrão Grande Inteligente;grená Executivo;Montenegro Refinado;26809;10266;Panamá;6469;Implementação Feminino Amapá;Travessa;Produto;Jóias Helena Egito;bronze
10;Granito Congelado do;Fresco;Rodovia açafrão Travessa;RecebimentoDeGraos;SeasonBonus;fuligem;Rústico Alameda;Paraíba;10738;28761;culpa;16762;Borracha;Executivo;Computador Legado;Analista;Incrível Direto
